line_id,expected_status,expected_reason,expected_cash_txn_id,level,severity,notes
L-00233,auto_matched,exact_match,BTX-000225,L1,low,
L-00234,auto_matched,exact_match,BTX-000226,L1,low,
L-00235,auto_matched,exact_match,BTX-000227,L1,low,
L-00236,needs_review,policy_typo,BTX-000228,L3,medium,
L-00237,auto_matched,exact_match,BTX-000229,L1,low,
L-00238,auto_matched,exact_match,BTX-000230,L1,low,
L-00239,auto_matched,exact_match,BTX-000231,L1,low,
L-00240,needs_review,timing_mismatch,BTX-000232,L2,low,
L-00241,auto_matched,exact_match,BTX-000233,L1,low,
L-00242,auto_matched,exact_match,BTX-000234,L1,low,
L-00243,auto_matched,exact_match,BTX-000235,L1,low,
L-00244,needs_review,rate_discrepancy,BTX-000236,L4,high,
L-00245,auto_matched,exact_match,BTX-000237,L1,low,
L-00246,auto_matched,exact_match,BTX-000238,L1,low,
L-00247,auto_matched,exact_match,BTX-000239,L1,low,
L-00248,needs_review,policy_typo,BTX-000240,L3,medium,
L-00249,auto_matched,exact_match,BTX-000241,L1,low,
L-00250,auto_matched,exact_match,BTX-000242,L1,low,
L-00251,auto_matched,exact_match,BTX-000243,L1,low,
L-00252,needs_review,timing_mismatch,BTX-000244,L2,low,
L-00253,auto_matched,exact_match,BTX-000245,L1,low,
L-00254,auto_matched,exact_match,BTX-000246,L1,low,
L-00255,auto_matched,exact_match,BTX-000247,L1,low,
L-00256,needs_review,clawback,BTX-000248,L3,high,
L-00257,auto_matched,exact_match,BTX-000249,L1,low,
L-00258,auto_matched,exact_match,BTX-000250,L1,low,
L-00259,auto_matched,exact_match,BTX-000251,L1,low,
L-00260,needs_review,override,BTX-000252,L2,low,
L-00261,auto_matched,exact_match,BTX-000253,L1,low,
L-00262,auto_matched,exact_match,BTX-000254,L1,low,
L-00263,auto_matched,exact_match,BTX-000255,L1,low,
L-00264,needs_review,carrier_name_mismatch,BTX-000256,L4,medium,
L-00265,auto_matched,exact_match,BTX-000257,L1,low,
L-00266,auto_matched,exact_match,BTX-000258,L1,low,
L-00267,auto_matched,exact_match,BTX-000259,L1,low,
L-00268,needs_review,timing_mismatch,BTX-000260,L2,low,
L-00269,auto_matched,exact_match,BTX-000261,L1,low,
L-00270,auto_matched,exact_match,BTX-000262,L1,low,
L-00271,auto_matched,exact_match,BTX-000263,L1,low,
L-00272,needs_review,partial_payment,,L3,high,
L-00273,auto_matched,exact_match,BTX-000266,L1,low,
L-00274,auto_matched,exact_match,BTX-000267,L1,low,
L-00275,auto_matched,exact_match,BTX-000268,L1,low,
L-00276,needs_review,name_variation,BTX-000269,L2,medium,
L-00277,auto_matched,exact_match,BTX-000270,L1,low,
L-00278,auto_matched,exact_match,BTX-000271,L1,low,
L-00279,auto_matched,exact_match,BTX-000272,L1,low,
L-00280,needs_review,carrier_name_mismatch,BTX-000273,L4,medium,
L-00281,auto_matched,exact_match,BTX-000274,L1,low,
L-00282,auto_matched,exact_match,BTX-000275,L1,low,
L-00283,auto_matched,exact_match,BTX-000276,L1,low,
L-00284,needs_review,clawback,BTX-000277,L3,high,
L-00285,auto_matched,exact_match,BTX-000278,L1,low,
L-00286,auto_matched,exact_match,BTX-000279,L1,low,
L-00287,auto_matched,exact_match,BTX-000280,L1,low,
L-00288,needs_review,timing_mismatch,BTX-000281,L2,low,
L-00289,auto_matched,exact_match,BTX-000282,L1,low,
L-00290,auto_matched,exact_match,BTX-000283,L1,low,
L-00291,auto_matched,exact_match,BTX-000284,L1,low,
L-00292,needs_review,partial_payment,,L3,high,
L-00293,auto_matched,exact_match,BTX-000287,L1,low,
L-00294,auto_matched,exact_match,BTX-000288,L1,low,
L-00295,auto_matched,exact_match,BTX-000289,L1,low,
L-00296,needs_review,policy_typo,BTX-000290,L3,medium,
L-00297,auto_matched,exact_match,BTX-000291,L1,low,
L-00298,auto_matched,exact_match,BTX-000292,L1,low,
L-00299,auto_matched,exact_match,BTX-000293,L1,low,
L-00300,needs_review,endorsement_adj,BTX-000294,L2,medium,
L-00301,auto_matched,exact_match,BTX-000295,L1,low,
L-00302,auto_matched,exact_match,BTX-000296,L1,low,
L-00303,auto_matched,exact_match,BTX-000297,L1,low,
L-00304,needs_review,timing_mismatch,BTX-000298,L2,low,
L-00305,auto_matched,exact_match,BTX-000299,L1,low,
L-00306,auto_matched,exact_match,BTX-000300,L1,low,
L-00307,auto_matched,exact_match,BTX-000301,L1,low,
L-00308,needs_review,policy_typo,BTX-000302,L3,medium,
L-00309,auto_matched,exact_match,BTX-000303,L1,low,
L-00310,auto_matched,exact_match,BTX-000304,L1,low,
L-00311,auto_matched,exact_match,BTX-000305,L1,low,
L-00312,needs_review,name_variation,BTX-000306,L2,medium,
L-00313,auto_matched,exact_match,BTX-000307,L1,low,
L-00314,auto_matched,exact_match,BTX-000308,L1,low,
L-00315,auto_matched,exact_match,BTX-000309,L1,low,
L-00316,needs_review,timing_mismatch,BTX-000310,L2,low,
L-00317,auto_matched,exact_match,BTX-000311,L1,low,
L-00318,auto_matched,exact_match,BTX-000312,L1,low,
L-00319,auto_matched,exact_match,BTX-000313,L1,low,
L-00320,needs_review,clawback,BTX-000314,L3,high,
